Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,EAV-100407-G,"Lead Metallurgy: Slurries, Filterk. from exhaust gas tank",,
2010,EAV-100409-G,Lead Metallurgy: Oilh. Waste from cooling water tank.,,
2010,EAV-100410-U,Waste from cooling water treatment (excluding 100409),,
2010,EAV-100499-U,Lead metallurgy: wastes n.e.c.,3.0,0.1
2010,EAV-100501-U,"Zinc metallurgy: slags (first, second melting)",5.0,2.0
2010,EAV-100503-G,Zinc Metallurgy: Filter Dust,5.0,0.2
2010,EAV-100504-U,Zinc Metallurgy: Other Particles and Dust,13.0,2.1
2010,EAV-100505-G,Zinc Metallurgy: Solid waste from waste gas treatment,6.0,0.1
2010,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank.",,
2010,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tank.,,
2010,EAV-100509-U,Waste from cooling water treatment (excluding 100508),,
2010,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,
2010,EAV-100511-U,"Scabies, scum (without 100510)",6.0,0.4
2010,EAV-100599-U,Zinc metallurgy: wastes not otherwise specified,3.0,0.0
2010,EAV-100601-U,"Copper metallurgy: slags (first, second melting)",4.0,17.3
2010,EAV-100602-U,"Copper metal: dross, scum (first, second scum)",8.0,8.7
2010,EAV-100603-G,Copper metallurgy: filter dust,6.0,1.6
2010,EAV-100604-U,Copper Metallurgy: Other particles and dust,7.0,2.5
2010,EAV-100606-G,Copper metallurgy: Solid waste a.Offgas treatment,4.0,2.4
2010,EAV-100607-G,"Copper metallurgy: slurries, filter c. a. Exhaust gas tank",,
2010,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank.,,
2010,EAV-100610-U,Waste from cooling water treatment (excluding 100609),,
2010,EAV-100699-U,Copper metallurgy: wastes not otherwise specified,3.0,0.3
2010,EAV-100701-U,"Silver metal etc.: slag (first, second melt)",,
2010,EAV-100702-U,"Silver metal and others: dross, scum (first and second scum)",4.0,0.0
2010,EAV-100703-U,Silbermet.a.a.: Solid waste from flue gas treatment,,
2010,EAV-100704-U,Silver metal etc.: Other particles and dust,9.0,0.2
2010,EAV-100705-U,"Silver metal, among other things: sludges, filter cakes in exhaust gas containers.",,
2010,EAV-100707-G,"Silver metal, among other things: oil-containing waste from cooling water tanks.",,
2010,EAV-100708-U,Waste from cooling water treatment (without 100707),,
2010,EAV-100799-U,"Silver, gold, platinum metallurgy: wastes not otherwise specified",,
2010,EAV-100804-U,Nonferrous Metallurgy: Particles and Dust,12.0,1.7
2010,EAV-100808-G,"Non-ferrous metal: salt slags (first, second melting)",,
2010,EAV-100809-U,Non-ferrous Metallurgy: Other slags,8.0,32.3
2010,EAV-100810-G,"Non-ferrous metallurgy: dross, scum (flammable)",3.0,0.1
2010,EAV-100811-U,"Scabies, scum (without 100810)",60.0,4.8
2010,EAV-100812-G,non-ferrous metal: tar Waste from anode manufacture.,,
2010,EAV-100813-U,Carbon-containing waste (excluding 100812),,
2010,EAV-100814-U,Non-ferrous metallurgy: anode scrap,,
2010,EAV-100815-G,Non-ferrous metallurgy: filter dust with hazardous level,23.0,3.3
2010,EAV-100816-U,Filter dust (without 100815),9.0,0.2
2010,EAV-100817-G,"Non-ferrous metallurgy: sludges, filters k.a.",,
2010,EAV-100818-U,Sludge and filter cake from exhaust gas treatment (oh.100817),,
2010,EAV-100819-G,Nonferrous Metallurgy: Oil H.Abf. from cooling water tank.,,
2010,EAV-100820-U,Waste from cooling water treatment (without 100819),,
2010,EAV-100899-U,Non-ferrous metallurgy: wastes not otherwise specified,4.0,0.0
2010,EAV-100903-U,"Iron,steel: furnace slag",113.0,274.5
2010,EAV-100905-G,"Iron, steel: casting molds and sand before casting",6.0,2.2
2010,EAV-100906-U,Casting molds and sand before casting (oh.100905),42.0,128.8
2010,EAV-100907-G,"Iron, steel: casting molds and sand after casting",4.0,2.4
2010,EAV-100908-U,Casting molds and sand after casting (without 100907),170.0,1587.7
2010,EAV-100909-G,"Iron, steel: filter dust containing dangerous substances",24.0,5.2
2010,EAV-100910-U,Filter dust (without 100909),59.0,52.2
2010,EAV-100911-G,"Iron, steel: Other particles with dangerous fabrics",4.0,0.1
2010,EAV-100912-U,Other particles (without 100911),3.0,1.8
2010,EAV-100913-G,"Iron,steel: abf. Binders with dangerous St.",,
2010,EAV-100914-U,Binding agent waste (excluding 100913),,
2010,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,
2010,EAV-100916-U,Waste from crack-indicating substances (oh.100915),,
2010,EAV-100999-U,Casting of iron and steel: wastes n.e.c.,4.0,1.6
2010,EAV-101003-U,Non-ferrous metals: furnace slag,30.0,8.0
2010,EAV-101005-G,"Non-ferrous metals: casting moulds, casting sands before casting",,
2010,EAV-101006-U,Casting molds and sand before casting (without 101005),13.0,11.3
2010,EAV-101007-G,"Non-ferrous metal: casting molds, sand after casting",3.0,2.0
2010,EAV-101008-U,Casting molds and sands after casting (without 101007),66.0,164.5
2010,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,7.0,2.5
2010,EAV-101010-U,Filter dust (without 101009),17.0,2.3
2010,EAV-101011-G,Non-ferrous metals: And. particles with dangerous fabrics,,
2010,EAV-101012-U,Other particles (without 101011),4.0,0.4
2010,EAV-101013-G,Non-ferrous metal: Abf.v. Binders with dangerous substances,,
2010,EAV-101014-U,Waste binders (excluding 101013),,
2010,EAV-101015-G,Non-ferrous metals: waste from crack-indicating subst.,,
2010,EAV-101016-U,Waste from crack-indicating substances (oh.101015),,
2010,EAV-101099-U,Casting of non-ferrous metals: wastes n.e.c.,9.0,0.1
2010,EAV-101103-U,fiberglass waste,48.0,25.7
2010,EAV-101105-U,Glass production: particles and dust,27.0,4.9
2010,EAV-101109-G,Mixture waste with hazardous fabrics v. d. Melt,10.0,0.4
2010,EAV-101110-U,Batch waste before melting (without 101109),24.0,4.6
2010,EAV-101111-G,Glass waste in small particles and glass dust,13.0,1.3
2010,EAV-101112-U,Glass waste (without 101111),229.0,214.3
2010,EAV-101113-G,Glass polishing and glass grinding sludge,30.0,0.9
2010,EAV-101114-U,Glass polishing and glass grinding slurry (without 101113),67.0,4.7
2010,EAV-101115-G,Glass production: Solid waste from waste gas treatment,32.0,3.1
2010,EAV-101116-U,Solid waste from flue gas treatment (excluding 101115),11.0,0.6
2010,EAV-101117-G,"Glass production: sludges, filters. from exhaust gas tank",,
2010,EAV-101118-U,Sludge and filter cake from exhaust gas treatment (oh.101117),,
2010,EAV-101119-G,Glass manufacturer: Solid Abf. a. company-owned wastewater tank,7.0,0.4
2010,EAV-101120-U,Solid waste a. operational. Waste water tank (oh.101119),11.0,1.2
2010,EAV-101199-U,Glass production: waste n.e.c.,7.0,9.2
2010,EAV-101201-U,Ceramic products: raw mixtures before firing,48.0,39.1
2010,EAV-101203-U,Ceramic products: particles and dust,67.0,15.9
2010,EAV-101205-U,"Ceramic products: slurries, filter c. a. Exhaust gas tank",,
2010,EAV-101206-U,Ceramic Products: Discarded Forms,41.0,11.0
2010,EAV-101208-U,"Waste from ceramic products, bricks, etc.",116.0,103.1
2010,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,13.0,2.1
2010,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),56.0,10.1
2010,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,5.0,0.5
2010,EAV-101212-U,Glaze waste (without 101211),7.0,1.1
2010,EAV-101213-U,Ceramic products: sludge (in-house waste water treatment),44.0,20.7
2010,EAV-101299-U,"Ceramic products, ceramic building materials: waste not otherwise specified",18.0,2.0
2010,EAV-101301-U,Cement etc.: Waste from raw batch before burning,,
2010,EAV-101304-U,"Waste from calcination, hydration from quicklime",30.0,13.5
2010,EAV-101306-U,"Cement and others: particles, dust (except 101312,101313)",42.0,134.2
2010,EAV-101307-U,"Cement etc.: sludge, filter cake from waste gas treatment.",,
2010,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,
2010,EAV-101310-U,Waste from manufacturing v. Asbestos cement (oh.101309),,
2010,EAV-101311-U,"Composite waste (excluding 101309, 101310)",33.0,44.0
2010,EAV-101312-G,Cement etc.: Solid waste from flue gas treatment,,
2010,EAV-101313-U,Solid waste from exhaust gas treatment (oh. 101312),4.0,13.8
2010,EAV-101314-U,Concrete waste and concrete slurry,111.0,215.6
2010,EAV-101399-U,"Cement, gypsum, quicklime: waste n.e.s.",8.0,1.6
2010,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,7.0,0.0
2010,EAV-11,Waste from chemical surface treatment,,
2010,EAV-110105-G,Surface treatment: Acid pickling solutions,630.0,165.0
2010,EAV-110106-G,Surface treat.: acids n.e.c.,203.0,11.4
2010,EAV-110107-G,Surface treatment: Alkaline pickling solutions,608.0,40.1
2010,EAV-110108-G,Surface treatment: phosphating sludge,210.0,7.9
2010,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",677.0,53.4
2010,EAV-110110-U,Sludge and filter cake (without 110109),73.0,39.6
2010,EAV-110111-G,Surface treatment: Aqueous flushing liquid. with tax,656.0,30.2
2010,EAV-110112-U,Aqueous rinsing liquids (without 110111),54.0,2.9
2010,EAV-110113-G,Surface treatment: Waste from degreasing with,103.0,5.2
2010,EAV-110114-U,Waste from degreasing (excluding 110113),14.0,0.2
2010,EAV-110115-G,"Surface treatment: eluates, sludges a. Membrane system",5.0,0.3
2010,EAV-110116-G,Surface treatment: ion exchange resins,22.0,0.1
2010,EAV-110198-G,Surface treatment: Other waste with hazardous St.,187.0,7.5
2010,EAV-110199-U,Surface treatment: waste not otherwise specified,10.0,14.4
2010,EAV-110202-G,Sludge from zinc hydrometallurgy,7.0,175.1
2010,EAV-110203-U,Waste from the production of anodes,,
2010,EAV-110205-G,Waste from copper hydrometallurgy processes,3.0,0.2
2010,EAV-110206-U,Waste from process. d.Copper Hydromet.(oh.110205),3.0,0.1
2010,EAV-110207-G,Non-ferrous hydrometallurgy: Other Abf. with dangerous tax,,
2010,EAV-110299-U,Non-ferrous hydrometallurgy: wastes not otherwise specified,4.0,16.7
2010,EAV-110301-G,"Slurries, solids from hardening processes: Cyanidh. waste",41.0,0.3
2010,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",73.0,0.9
2010,EAV-110501-U,Galvanization: Heart zinc,20.0,5.1
2010,EAV-110502-U,Galvanizing: zinc ash,22.0,2.8
2010,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,5.0,0.1
2010,EAV-110504-G,Galvanizing: Used fluxes,3.0,0.2
2010,EAV-110599-U,Galvanizing: waste n.e.c.,,
2010,EAV-12,Waste from mechanical shaping processes,,
2010,EAV-120101-U,Iron filings and turnings,2583.0,1462.6
2010,EAV-120102-U,iron dust and particles,2313.0,2477.0
2010,EAV-120103-U,Non-ferrous metal filings and turnings,1785.0,293.7
2010,EAV-120104-U,Non-ferrous metal dust and particles,1221.0,262.2
2010,EAV-120105-U,Plastic chips and turnings,588.0,63.5
2010,EAV-120106-G,Halogen-containing mineral oil-based machining oils,33.0,0.3
2010,EAV-120107-G,Halogen-free processing oils based on mineral oil,151.0,23.5
2010,EAV-120108-G,Halogen-containing processing emulsions and. -solutions,51.0,1.8
2010,EAV-120109-G,Halogen-free processing emulsions and solutions,4811.0,739.1
2010,EAV-120110-G,Synthetic machining oils,55.0,1.8
2010,EAV-120112-G,Used waxes and fats,650.0,8.7
2010,EAV-120113-U,Welding waste,88.0,23.4
2010,EAV-120114-G,Processing sludge with dangerous substances,360.0,14.0
2010,EAV-120115-U,Processing sludge (without 120114),128.0,16.1
2010,EAV-120116-G,Abrasive waste (with hazardous substances),153.0,10.2
2010,EAV-120117-U,Abrasive waste (without 120116),722.0,55.1
2010,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",655.0,53.7
2010,EAV-120119-G,Easily biodegradable machining oils,4.0,0.0
2010,EAV-120120-G,Used honing and abrasives containing hazardous substances,91.0,6.1
2010,EAV-120121-U,Used honing and grinding materials (without 120120),492.0,13.2
2010,EAV-120199-U,"surface treatment Metals, plastics: waste not otherwise specified",208.0,106.1
2010,EAV-120301-G,Aqueous washing liquids,416.0,19.8
2010,EAV-120302-G,Vapor degreasing waste,19.0,2.0
2010,EAV-13,waste oil and liquid fuel waste,,
2010,EAV-130101-G,Hydraulic oils containing PCBs,12.0,0.0
2010,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,4.0,0.3
2010,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,174.0,57.7
2010,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,4.0,0.0
2010,EAV-130110-G,"Mineral oil-based, non-chlorinated hydraulic oils",322.0,3.2
2010,EAV-130111-G,Synthetic hydraulic oils,28.0,0.6
2010,EAV-130112-G,Easily biodegradable hydraulic oils,15.0,0.1
2010,EAV-130113-G,Other hydraulic oils,58.0,0.6
2010,EAV-130204-G,"Chlorinated engine, gear and lubricating oils",150.0,0.9
2010,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",6294.0,96.0
2010,EAV-130206-G,"Synthetic machine, gear and lubricating oils",103.0,0.4
2010,EAV-130207-G,Easily biodegradable. Machine and gear oils,13.0,0.0
2010,EAV-130208-G,"Other machine, gear and lubricating oils",609.0,6.5
2010,EAV-130301-G,Insulating and heat transfer oils with PCB,56.0,0.7
2010,EAV-130306-G,Chlorine. Insulating and heat transfer oils (oh.130301),,
2010,EAV-130307-G,Non-chlorinated insulating and heat transfer oils,190.0,6.0
2010,EAV-130308-G,Synthetic insulating and heat transfer oils,29.0,0.8
2010,EAV-130309-G,biologist easily degradable. Insulation and Heat transfer oils,,
2010,EAV-130310-G,Other insulating and heat transfer oils,38.0,0.2
2010,EAV-130401-G,Bilge oils from inland shipping,,
2010,EAV-130402-G,Bilge oils from pier drains,,
2010,EAV-130403-G,Bilge oils from other shipping,23.0,5.4
2010,EAV-130501-G,Solid waste from grit chambers and oil/water separators,311.0,14.5
2010,EAV-130502-G,Sludges from oil/water separators,1982.0,56.3
2010,EAV-130503-G,sludge from manholes,555.0,21.9
2010,EAV-130506-G,Oils from oil/water separators,67.0,1.9
2010,EAV-130507-G,Oily water from oil/water separators,374.0,16.4
2010,EAV-130508-G,"Waste mixtures from sand traps, oil/water separation.",935.0,23.2
2010,EAV-130701-G,Heating oil and diesel,136.0,1.0
2010,EAV-130702-G,Petrol,65.0,0.9
2010,EAV-130703-G,Other fuels (including mixtures),218.0,7.1
2010,EAV-130801-G,Oil waste: sludges or emulsions from desalinators,,
2010,EAV-130802-G,Waste oil: Other emulsions,441.0,14.0
2010,EAV-130899-G,Oil waste: wastes not otherwise specified,386.0,14.6
2010,EAV-14,"Waste from organic solvents, coolants",,
2010,EAV-140601-G,"Chlorofluorocarbons, HCFCs, HFCs",81.0,0.1
2010,EAV-140602-G,Other halogenated solvents and solvent mixtures.,469.0,3.8
2010,EAV-140603-G,Other solvents and solvent mixtures,3358.0,45.9
2010,EAV-140604-G,"Sludges, solid waste (halogenated solvents)",30.0,0.6
2010,EAV-140605-G,"Sludge, solid waste (other solvents)",88.0,2.1
2010,EAV-15,"Packaging waste, absorbents, wipes",,
2010,EAV-150101-U,Paper and cardboard packaging,12275.0,1656.2
2010,EAV-150102-U,Plastic packaging,8911.0,424.4
2010,EAV-150103-U,Wooden packaging,6122.0,348.3
2010,EAV-150104-U,packaging of metal,1035.0,48.4
2010,EAV-150105-U,Composite packaging,417.0,68.7
2010,EAV-15010600-U,Mixed packaging cannot be differentiated,6159.0,610.6
2010,EAV-15010601-U,Lightweight packaging (LVP),1535.0,34.9
2010,EAV-15010602-U,Mixed recyclables plus lightweight packaging,,
2010,EAV-150107-U,Glass packaging,947.0,118.4
2010,EAV-150109-U,Packaging made from textiles,30.0,0.9
2010,EAV-150110-G,Packaging with residues of dangerous substances,3919.0,36.1
2010,EAV-150111-G,packaging of metal,122.0,0.3
2010,EAV-150202-G,"Absorbent and filter materials, wipes",8287.0,118.6
2010,EAV-150203-U,Absorption and filter materials (without 150202),545.0,25.0
2010,EAV-16,Waste not included elsewhere in the inventory,,
2010,EAV-160103-U,scrap tires,685.0,60.9
2010,EAV-160104-G,Old vehicles,26.0,12.8
2010,EAV-160106-U,End-of-life vehicles without dangerous components,16.0,0.7
2010,EAV-160107-G,Old vehicles: oil filters,434.0,1.4
2010,EAV-160108-G,Old vehicles: components containing mercury,5.0,0.0
2010,EAV-160109-G,End-of-life vehicles: components containing PCBs,6.0,0.1
2010,EAV-160110-G,End-of-life vehicles: Explosive components (e.g. from airbags),38.0,0.4
2010,EAV-160111-G,Old vehicles: brake pads containing asbestos,3.0,0.0
2010,EAV-160112-U,Brake pads (without 160111),30.0,2.7
2010,EAV-160113-G,End-of-life vehicles: brake fluids,173.0,0.7
2010,EAV-160114-G,End-of-life vehicles: antifreeze is dangerous. fabrics,488.0,3.6
2010,EAV-160115-U,Antifreeze (without 160114),24.0,0.1
2010,EAV-160116-U,End-of-life vehicles: LPG containers,,
2010,EAV-160117-U,End-of-life vehicles: ferrous metals,294.0,217.0
2010,EAV-160118-U,End-of-life vehicles: non-ferrous metals,137.0,17.6
2010,EAV-160119-U,Old vehicles: plastics,182.0,9.5
2010,EAV-160120-U,End-of-life vehicles: glass,122.0,7.9
2010,EAV-16012100-G,"Dangerous Components (without 160107-160111,160113-160114)",25.0,1.1
2010,EAV-16012101-G,"Dangerous metallic components (without 160107-11,160113-14)",7.0,0.6
2010,EAV-16012102-G,"Dangerous n.metal.components(oh.160107-11,160113-14)",,
2010,EAV-16012200-U,Components not differentiable,16.0,3.2
2010,EAV-16012201-U,Metallic components,32.0,0.7
2010,EAV-16012202-U,Non-metallic components,6.0,0.1
2010,EAV-160199-U,End-of-life vehicles: waste not otherwise specified,31.0,2.4
2010,EAV-160209-G,transformers and Capacitors containing PCB.,277.0,0.5
2010,EAV-160210-G,Used devices containing PCB (oh.160209),37.0,0.1
2010,EAV-160211-G,used devices,725.0,1.1
2010,EAV-160212-G,Used equipment containing free asbestos,50.0,0.3
2010,EAV-160213-G,Used devices with dangerous Components (oh.160209-12),2305.0,23.8
2010,EAV-160214-U,Used devices (without 160209 to 160213),1663.0,21.3
2010,EAV-16021500-G,Hazardous components removed from used equipment,55.0,0.3
2010,EAV-16021501-G,Waste containing mercury,10.0,0.0
2010,EAV-16021502-G,circuit boards,57.0,0.4
2010,EAV-16021503-G,toner cartridges,251.0,0.3
2010,EAV-16021504-G,Plastics with brominated flame retardants,,
2010,EAV-16021505-G,Components containing asbestos,4.0,0.1
2010,EAV-16021506-G,cathode ray tubes,6.0,0.0
2010,EAV-16021507-G,Gas discharge lamps,14.0,0.0
2010,EAV-16021508-G,liquid crystal displays,,
2010,EAV-16021509-G,External electrical lines,43.0,0.2
2010,EAV-16021510-G,Components containing refractory ceramic fibers,,
2010,EAV-16021511-G,Electrolytic - Capacitors,3.0,0.0
2010,EAV-16021512-G,Photoconductor drums containing cadmium or selenium,,
2010,EAV-16021600-U,Removed from used devices. Components (oh.160215),283.0,6.2
2010,EAV-16021601-U,External electrical lines (including cables),181.0,0.7
